investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier,tier_change,fee_percent,invite_percent
Cold Cut Credit,Commit,1200,180,2,Market,1,53,7.6,Participant,Bookrunner,Promoted,0.1433962264,0.15
Cold Cut Credit,Decline,1100,120,4,Market,1,93,14.3,Bookrunner,Participant,Demoted,0.1537634409,0.1090909091
Beef and Broccoli Union,Commit,1100,230,9,Above,0,136,44.3,Bookrunner,Bookrunner,None,0.3257352941,0.2090909091
Damiba Investment Group,Commit,900,170,2,Market,2,76,6.3,Participant,Bookrunner,Promoted,0.08289473684,0.1888888889
Cold Cut Credit,Commit,800,150,1,Market,2,62,16.4,Bookrunner,Bookrunner,None,0.264516129,0.1875
Beef and Broccoli Union,Commit,1200,240,10,Market,0,151,52.4,Bookrunner,Bookrunner,None,0.3470198675,0.2
Cold Cut Credit,Commit,700,90,3,Market,2,58,6.4,Bookrunner,Bookrunner,None,0.1103448276,0.1285714286
Bank of Pepperoni Pizza,Commit,1600,170,2,Market,2,230,11.3,Participant,Participant,None,0.04913043478,0.10625
Cold Cut Credit,Commit,1200,140,2,Market,2,131,21.9,Bookrunner,Participant,Demoted,0.1671755725,0.1166666667
Damiba Investment Group,Commit,800,120,1,Below,2,99,21.6,Bookrunner,Bookrunner,None,0.2181818182,0.15
Cold Cut Credit,Commit,2000,380,9,Market,0,189,22.7,Bookrunner,Bookrunner,None,0.1201058201,0.19
Cold Cut Credit,Commit,700,120,2,Market,2,61,5.3,Bookrunner,Bookrunner,None,0.0868852459,0.1714285714
Cold Cut Credit,Commit,500,70,1,Market,3,80,14.7,Bookrunner,Bookrunner,None,0.18375,0.14
Beef and Broccoli Union,Decline,700,110,2,Market,2,49,4.5,Bookrunner,Bookrunner,None,0.09183673469,0.1571428571
Ipanema Investments,Commit,1200,140,7,Market,1,182,33.1,Bookrunner,Participant,Demoted,0.1818681319,0.1166666667
Damiba Investment Group,Commit,1100,170,4,Market,0,32,4.3,Bookrunner,Bookrunner,None,0.134375,0.1545454545
Damiba Investment Group,Commit,1000,220,8,Market,0,47,13.5,Bookrunner,Bookrunner,None,0.2872340426,0.22
Damiba Investment Group,Commit,1000,100,3,Market,2,73,5.3,Participant,Participant,None,0.07260273973,0.1
Damiba Investment Group,Commit,1100,220,4,Market,1,114,20,Bookrunner,Bookrunner,None,0.1754385965,0.2
Beef and Broccoli Union,Commit,900,120,2,Market,2,98,25.2,Bookrunner,Bookrunner,None,0.2571428571,0.1333333333
Cold Cut Credit,Commit,1600,240,9,Market,0,141,9.7,Bookrunner,Bookrunner,None,0.06879432624,0.15
Cold Cut Credit,Commit,1300,190,6,Market,1,128,12.7,Bookrunner,Bookrunner,None,0.09921875,0.1461538462
Cold Cut Credit,Commit,900,120,1,Market,2,82,15.8,Bookrunner,Bookrunner,None,0.1926829268,0.1333333333
Ipanema Investments,Commit,1300,220,10,Market,0,167,39.2,Bookrunner,Bookrunner,None,0.2347305389,0.1692307692
Damiba Investment Group,Commit,1200,240,3,Above,2,285,10,Bookrunner,Bookrunner,None,0.0350877193,0.2
Ipanema Investments,Commit,1600,220,8,Market,0,39,8.7,Bookrunner,Bookrunner,None,0.2230769231,0.1375
Damiba Investment Group,Commit,1700,230,1,Market,2,107,24.4,Bookrunner,Bookrunner,None,0.2280373832,0.1352941176
Bank of Pepperoni Pizza,Commit,300,50,2,Market,2,30,4.5,Bookrunner,Bookrunner,None,0.15,0.1666666667
Beef and Broccoli Union,Commit,1300,210,9,Market,0,51,8.4,Bookrunner,Bookrunner,None,0.1647058824,0.1615384615
Cold Cut Credit,Commit,1700,220,3,Market,2,293,73.3,Bookrunner,Bookrunner,None,0.2501706485,0.1294117647
Ipanema Investments,Commit,1100,180,1,Market,2,103,1.9,Participant,Bookrunner,Promoted,0.01844660194,0.1636363636
Ipanema Investments,Commit,1500,150,4,Market,1,296,37.6,Bookrunner,Participant,Demoted,0.127027027,0.1
Beef and Broccoli Union,Decline,900,160,1,Market,2,63,5.9,Bookrunner,Bookrunner,None,0.09365079365,0.1777777778
Cold Cut Credit,Commit,1500,200,10,Market,0,221,31.8,Participant,Bookrunner,Promoted,0.1438914027,0.1333333333
Bank of Pepperoni Pizza,Commit,2000,390,8,Market,0,153,28.9,Bookrunner,Bookrunner,None,0.1888888889,0.195
Bank of Pepperoni Pizza,Commit,1600,260,9,Market,0,235,48.4,Bookrunner,Bookrunner,None,0.2059574468,0.1625
Bank of Pepperoni Pizza,Commit,1200,180,4,Market,1,126,5.5,Bookrunner,Bookrunner,None,0.04365079365,0.15
Cold Cut Credit,Commit,800,140,2,Market,2,116,3.9,Bookrunner,Bookrunner,None,0.03362068966,0.175
Beef and Broccoli Union,Decline,1500,230,6,Market,1,79,5.3,Bookrunner,Bookrunner,None,0.06708860759,0.1533333333
Cold Cut Credit,Commit,2600,180,7,Below,0,374,51.2,Bookrunner,Participant,Demoted,0.1368983957,0.06923076923
Beef and Broccoli Union,Commit,1300,300,10,Market,0,150,38.1,Bookrunner,Bookrunner,None,0.254,0.2307692308
Cold Cut Credit,Commit,1000,140,5,Market,1,89,12.5,Bookrunner,Bookrunner,None,0.1404494382,0.14
Bank of Pepperoni Pizza,Commit,1300,90,10,Market,0,188,32.3,Bookrunner,Participant,Demoted,0.1718085106,0.06923076923
Ipanema Investments,Decline,1900,110,5,Below,1,125,15.3,Bookrunner,Participant,Demoted,0.1224,0.05789473684
Ipanema Investments,Commit,1800,270,6,Market,1,209,0,Participant,Bookrunner,Promoted,0,0.15
Cold Cut Credit,Commit,1500,200,3,Market,2,147,12.9,Bookrunner,Bookrunner,None,0.08775510204,0.1333333333
Damiba Investment Group,Commit,400,90,3,Market,1,16,4.1,Bookrunner,Bookrunner,None,0.25625,0.225
Damiba Investment Group,Decline,600,30,1,Market,2,140,9.7,Bookrunner,Participant,Demoted,0.06928571429,0.05
Bank of Pepperoni Pizza,Commit,1000,180,6,Market,1,121,16.6,Bookrunner,Bookrunner,None,0.1371900826,0.18
Damiba Investment Group,Decline,1700,160,2,Market,2,168,23.2,Bookrunner,Participant,Demoted,0.1380952381,0.09411764706
Ipanema Investments,Commit,1200,150,4,Market,1,113,16.6,Bookrunner,Bookrunner,None,0.1469026549,0.125
Bank of Pepperoni Pizza,Commit,1000,210,4,Below,1,106,40.7,Bookrunner,Bookrunner,None,0.3839622642,0.21
Ipanema Investments,Commit,900,120,2,Market,2,234,15.9,Bookrunner,Bookrunner,None,0.06794871795,0.1333333333
Cold Cut Credit,Commit,1700,270,6,Above,1,173,42.2,Bookrunner,Bookrunner,None,0.2439306358,0.1588235294
Beef and Broccoli Union,Commit,600,70,2,Market,2,72,9.6,Bookrunner,Bookrunner,None,0.1333333333,0.1166666667
Beef and Broccoli Union,Commit,700,90,2,Below,2,102,20.6,Bookrunner,Bookrunner,None,0.2019607843,0.1285714286
Damiba Investment Group,Commit,900,130,4,Market,1,50,2.4,Bookrunner,Bookrunner,None,0.048,0.1444444444
Ipanema Investments,Commit,800,110,3,Above,2,118,0,Participant,Bookrunner,Promoted,0,0.1375
Bank of Pepperoni Pizza,Commit,700,70,2,Market,2,37,1.9,Participant,Participant,None,0.05135135135,0.1
Bank of Pepperoni Pizza,Commit,1400,230,8,Market,0,216,52.3,Bookrunner,Bookrunner,None,0.2421296296,0.1642857143
Beef and Broccoli Union,Commit,1300,170,10,Market,0,167,23.7,Participant,Bookrunner,Promoted,0.1419161677,0.1307692308
Damiba Investment Group,Commit,600,100,2,Market,3,91,20.7,Bookrunner,Bookrunner,None,0.2274725275,0.1666666667
Beef and Broccoli Union,Commit,200,30,2,Below,3,33,0,Participant,Bookrunner,Promoted,0,0.15
Bank of Pepperoni Pizza,Commit,1700,240,10,Below,0,140,24.2,Bookrunner,Bookrunner,None,0.1728571429,0.1411764706
Damiba Investment Group,Commit,1200,270,1,Market,2,115,6.3,Bookrunner,Bookrunner,None,0.0547826087,0.225
Damiba Investment Group,Commit,1600,280,6,Market,1,149,38.1,Bookrunner,Bookrunner,None,0.255704698,0.175
Cold Cut Credit,Commit,1800,190,10,Market,0,212,40.9,Bookrunner,Participant,Demoted,0.1929245283,0.1055555556
Damiba Investment Group,Commit,200,30,4,Market,1,18,4.2,Bookrunner,Bookrunner,None,0.2333333333,0.15
Ipanema Investments,Commit,500,110,2,Market,2,38,5.2,Bookrunner,Bookrunner,None,0.1368421053,0.22
Cold Cut Credit,Commit,600,100,1,Below,1,30,6.8,Bookrunner,Bookrunner,None,0.2266666667,0.1666666667
Cold Cut Credit,Commit,900,170,3,Market,2,125,10.3,Bookrunner,Bookrunner,None,0.0824,0.1888888889
Bank of Pepperoni Pizza,Commit,700,100,3,Market,2,58,0,Participant,Bookrunner,Promoted,0,0.1428571429
Cold Cut Credit,Commit,600,60,4,Market,1,80,20.5,Bookrunner,Participant,Demoted,0.25625,0.1
Ipanema Investments,Commit,2000,280,10,Market,0,244,1,Bookrunner,Bookrunner,None,0.004098360656,0.14
Cold Cut Credit,Commit,600,100,2,Market,2,84,4.2,Bookrunner,Bookrunner,None,0.05,0.1666666667
Bank of Pepperoni Pizza,Commit,1500,190,2,Below,2,222,27.3,Bookrunner,Bookrunner,None,0.122972973,0.1266666667
Damiba Investment Group,Decline,1200,110,4,Market,1,141,7.1,Bookrunner,Participant,Demoted,0.05035460993,0.09166666667
Beef and Broccoli Union,Commit,800,130,3,Above,2,47,7.8,Participant,Bookrunner,Promoted,0.1659574468,0.1625
Ipanema Investments,Decline,300,20,3,Above,2,24,3.7,Bookrunner,Participant,Demoted,0.1541666667,0.06666666667
Cold Cut Credit,Commit,1400,300,7,Market,0,196,47.4,Participant,Bookrunner,Promoted,0.2418367347,0.2142857143
Damiba Investment Group,Commit,500,90,3,Market,1,14,3,Bookrunner,Bookrunner,None,0.2142857143,0.18
Cold Cut Credit,Commit,2200,430,1,Market,2,136,10.1,Bookrunner,Bookrunner,None,0.07426470588,0.1954545455
Beef and Broccoli Union,Decline,800,90,2,Market,2,73,4.1,Bookrunner,Participant,Demoted,0.05616438356,0.1125
Damiba Investment Group,Commit,1300,160,7,Market,0,119,29,Bookrunner,Bookrunner,None,0.243697479,0.1230769231
Damiba Investment Group,Commit,1400,200,6,Market,0,59,4.1,Bookrunner,Bookrunner,None,0.06949152542,0.1428571429
Ipanema Investments,Commit,1200,210,4,Market,1,141,23,Bookrunner,Bookrunner,None,0.1631205674,0.175
Bank of Pepperoni Pizza,Commit,1200,260,4,Market,1,97,17.4,Bookrunner,Bookrunner,None,0.1793814433,0.2166666667
Damiba Investment Group,Decline,1500,160,3,Market,2,156,16.2,Bookrunner,Participant,Demoted,0.1038461538,0.1066666667
Beef and Broccoli Union,Decline,900,80,1,Market,2,117,21.5,Bookrunner,Participant,Demoted,0.1837606838,0.08888888889
Ipanema Investments,Commit,500,90,1,Market,2,50,12.7,Bookrunner,Bookrunner,None,0.254,0.18
Ipanema Investments,Commit,1000,170,5,Market,1,140,48.4,Bookrunner,Bookrunner,None,0.3457142857,0.17
Ipanema Investments,Commit,900,120,1,Market,2,130,34.1,Bookrunner,Bookrunner,None,0.2623076923,0.1333333333
Ipanema Investments,Commit,1000,160,4,Market,1,89,12.3,Bookrunner,Bookrunner,None,0.1382022472,0.16
Cold Cut Credit,Commit,1200,140,5,Market,1,170,21.3,Bookrunner,Participant,Demoted,0.1252941176,0.1166666667
Damiba Investment Group,Decline,1100,40,5,Market,1,90,8.6,Bookrunner,Participant,Demoted,0.09555555556,0.03636363636
Beef and Broccoli Union,Commit,1400,230,8,Market,0,216,59.6,Bookrunner,Bookrunner,None,0.2759259259,0.1642857143
Ipanema Investments,Commit,1000,190,8,Above,0,85,30.9,Bookrunner,Bookrunner,None,0.3635294118,0.19
Ipanema Investments,Decline,400,80,1,Market,3,64,3.5,Bookrunner,Bookrunner,None,0.0546875,0.2
Damiba Investment Group,Commit,1300,220,9,Market,0,139,25,Bookrunner,Bookrunner,None,0.1798561151,0.1692307692
Ipanema Investments,Commit,1000,210,7,Market,0,117,19.2,Bookrunner,Bookrunner,None,0.1641025641,0.21
Cold Cut Credit,Commit,1200,220,7,Market,0,84,8.1,Bookrunner,Bookrunner,None,0.09642857143,0.1833333333
Damiba Investment Group,Commit,800,120,3,Market,3,146,14,Participant,Bookrunner,Promoted,0.09589041096,0.15
Ipanema Investments,Commit,1400,170,5,Below,1,153,7.3,Bookrunner,Bookrunner,None,0.0477124183,0.1214285714
Beef and Broccoli Union,Commit,600,130,2,Market,2,53,14.6,Bookrunner,Bookrunner,None,0.2754716981,0.2166666667
Beef and Broccoli Union,Decline,900,160,1,Below,2,64,10,Bookrunner,Bookrunner,None,0.15625,0.1777777778
Ipanema Investments,Commit,1000,130,6,Market,2,191,44.7,Bookrunner,Bookrunner,None,0.2340314136,0.13
Cold Cut Credit,Commit,800,170,2,Market,2,115,30,Bookrunner,Bookrunner,None,0.2608695652,0.2125
Damiba Investment Group,Commit,900,110,1,Market,2,110,18.4,Bookrunner,Bookrunner,None,0.1672727273,0.1222222222
Cold Cut Credit,Commit,1600,310,3,Market,2,122,24.5,Bookrunner,Bookrunner,None,0.2008196721,0.19375
Ipanema Investments,Commit,600,100,4,Market,1,63,7.5,Participant,Bookrunner,Promoted,0.119047619,0.1666666667
Ipanema Investments,Commit,400,50,1,Market,2,39,6,Bookrunner,Bookrunner,None,0.1538461538,0.125
Cold Cut Credit,Decline,600,80,4,Below,1,71,2.1,Bookrunner,Bookrunner,None,0.02957746479,0.1333333333
Beef and Broccoli Union,Commit,1800,380,4,Market,1,265,38.7,Bookrunner,Bookrunner,None,0.1460377358,0.2111111111
Cold Cut Credit,Commit,1200,160,1,Market,2,219,29.6,Bookrunner,Bookrunner,None,0.1351598174,0.1333333333
Damiba Investment Group,Commit,1200,250,5,Market,1,69,3.3,Participant,Bookrunner,Promoted,0.04782608696,0.2083333333
Cold Cut Credit,Commit,700,110,1,Market,3,109,4.7,Bookrunner,Bookrunner,None,0.04311926606,0.1571428571
Bank of Pepperoni Pizza,Commit,800,150,1,Market,2,52,16,Bookrunner,Bookrunner,None,0.3076923077,0.1875
Ipanema Investments,Commit,800,120,1,Market,2,90,16.7,Participant,Bookrunner,Promoted,0.1855555556,0.15
Bank of Pepperoni Pizza,Commit,1600,220,9,Market,0,95,2.1,Bookrunner,Bookrunner,None,0.02210526316,0.1375
Beef and Broccoli Union,Commit,1200,190,5,Above,1,92,28.1,Bookrunner,Bookrunner,None,0.3054347826,0.1583333333
Damiba Investment Group,Commit,2000,330,4,Market,1,240,14.4,Bookrunner,Bookrunner,None,0.06,0.165
Ipanema Investments,Commit,1500,220,7,Market,0,121,0.7,Bookrunner,Bookrunner,None,0.005785123967,0.1466666667
Damiba Investment Group,Commit,700,140,2,Market,2,77,19.3,Bookrunner,Bookrunner,None,0.2506493506,0.2
Bank of Pepperoni Pizza,Commit,1100,100,10,Market,1,189,17,Bookrunner,Participant,Demoted,0.08994708995,0.09090909091
Cold Cut Credit,Commit,900,140,3,Market,2,121,7.5,Bookrunner,Bookrunner,None,0.06198347107,0.1555555556
Bank of Pepperoni Pizza,Commit,1500,200,1,Below,3,263,8.2,Bookrunner,Bookrunner,None,0.03117870722,0.1333333333
Ipanema Investments,Decline,1100,70,9,Market,0,155,22.5,Bookrunner,Participant,Demoted,0.1451612903,0.06363636364
Beef and Broccoli Union,Decline,800,80,1,Market,1,11,0.3,Participant,Participant,None,0.02727272727,0.1
Beef and Broccoli Union,Decline,600,70,1,Market,3,94,12.7,Bookrunner,Participant,Demoted,0.135106383,0.1166666667
Damiba Investment Group,Commit,900,150,2,Market,2,106,28.9,Participant,Bookrunner,Promoted,0.2726415094,0.1666666667
Ipanema Investments,Commit,800,130,3,Market,2,62,17.7,Bookrunner,Bookrunner,None,0.285483871,0.1625
Damiba Investment Group,Decline,1700,140,5,Above,1,90,16.4,Bookrunner,Participant,Demoted,0.1822222222,0.08235294118
Beef and Broccoli Union,Commit,1700,250,10,Below,0,95,13.7,Bookrunner,Bookrunner,None,0.1442105263,0.1470588235
Beef and Broccoli Union,Decline,900,120,3,Below,2,114,6.3,Bookrunner,Bookrunner,None,0.05526315789,0.1333333333
Ipanema Investments,Commit,1600,220,10,Above,0,123,17.1,Bookrunner,Bookrunner,None,0.1390243902,0.1375
Beef and Broccoli Union,Commit,1300,200,8,Market,1,210,0,Participant,Bookrunner,Promoted,0,0.1538461538
Damiba Investment Group,Commit,1600,250,6,Market,2,264,75.8,Bookrunner,Bookrunner,None,0.2871212121,0.15625
Beef and Broccoli Union,Commit,1500,250,4,Market,1,185,59.2,Bookrunner,Bookrunner,None,0.32,0.1666666667
Damiba Investment Group,Commit,1200,150,7,Market,1,182,38.4,Bookrunner,Bookrunner,None,0.210989011,0.125
Cold Cut Credit,Decline,200,30,2,Market,2,24,0.2,Bookrunner,Bookrunner,None,0.008333333333,0.15
Bank of Pepperoni Pizza,Commit,1500,350,10,Market,0,217,30.8,Bookrunner,Bookrunner,None,0.1419354839,0.2333333333
Ipanema Investments,Commit,900,200,1,Market,2,110,17.1,Bookrunner,Bookrunner,None,0.1554545455,0.2222222222
Damiba Investment Group,Decline,1100,100,2,Market,2,113,14.6,Bookrunner,Participant,Demoted,0.1292035398,0.09090909091
Beef and Broccoli Union,Commit,300,60,1,Market,3,46,8.3,Bookrunner,Bookrunner,None,0.1804347826,0.2
Beef and Broccoli Union,Commit,1000,160,4,Market,1,93,28.2,Bookrunner,Bookrunner,None,0.3032258065,0.16
Damiba Investment Group,Decline,600,50,2,Below,2,63,11.3,Bookrunner,Participant,Demoted,0.1793650794,0.08333333333
Cold Cut Credit,Commit,600,120,4,Market,1,80,1.2,Bookrunner,Bookrunner,None,0.015,0.2
Ipanema Investments,Commit,1100,160,9,Market,0,115,21.6,Participant,Bookrunner,Promoted,0.187826087,0.1454545455
Cold Cut Credit,Commit,1700,270,5,Above,1,187,51.4,Bookrunner,Bookrunner,None,0.2748663102,0.1588235294
Ipanema Investments,Commit,1300,290,8,Above,0,119,9.9,Participant,Bookrunner,Promoted,0.08319327731,0.2230769231
Damiba Investment Group,Commit,700,110,3,Market,2,43,7.2,Participant,Bookrunner,Promoted,0.1674418605,0.1571428571
Beef and Broccoli Union,Commit,1500,230,8,Market,0,128,30.5,Bookrunner,Bookrunner,None,0.23828125,0.1533333333
Ipanema Investments,Decline,200,50,2,Market,2,11,1.3,Bookrunner,Bookrunner,None,0.1181818182,0.25
Damiba Investment Group,Decline,600,50,2,Market,2,63,3.6,Bookrunner,Participant,Demoted,0.05714285714,0.08333333333
Ipanema Investments,Commit,1100,170,7,Market,1,195,23.8,Participant,Bookrunner,Promoted,0.1220512821,0.1545454545
Ipanema Investments,Commit,1600,120,7,Above,0,288,46.9,Bookrunner,Participant,Demoted,0.1628472222,0.075
Ipanema Investments,Commit,1000,150,5,Market,1,89,11.6,Participant,Bookrunner,Promoted,0.1303370787,0.15
Damiba Investment Group,Commit,1500,350,9,Market,0,163,48.4,Bookrunner,Bookrunner,None,0.2969325153,0.2333333333
Bank of Pepperoni Pizza,Commit,800,90,1,Market,2,62,13.1,Bookrunner,Participant,Demoted,0.2112903226,0.1125
Cold Cut Credit,Commit,700,130,2,Market,2,60,3.3,Participant,Bookrunner,Promoted,0.055,0.1857142857
